id,ticker,shares,entry_price,entry_date,target_price,commission_paid,status,exit_price,exit_date,exit_reason,realized_pnl,mae_pct,days_held,gap_pct
14,BEAMMW-B.ST,77.0,12.881,2026-08-18,13.7827,5.13276225,closed,13.7827,2026-08-24,MAL NATT,64.29813775000011,-7.926405894905318,6,1.09
13,SES.ST,5324.0,0.1878,2026-08-17,0.2009,4.7569939336769576,closed,0.1695999950170517,2026-08-27,TIDIG VARNING,-101.65382046289363,-14.376999433048235,10,0.43
12,SALT-B.ST,166.0,5.9981,2026-08-17,6.418,4.7717115,closed,5.5,2026-09-04,TIDIG VARNING,-87.45631150000007,-9.304612173513963,18,0.8
11,QLIFE.ST,566.0,1.7645,2026-08-17,1.888,4.7834075796175,closed,1.6160000562667847,2026-09-15,TIDIG VARNING,-88.83437573261742,-9.662795019541626,29,0.48
10,OXE.ST,4432.0,0.2256,2026-08-17,0.2414,5.17436,closed,0.2414,2026-08-19,MAL NATT,64.85124000000006,-2.039006722311599,2,0.71
9,ORTIN.ST,11111.0,0.09,2026-08-17,0.0963,4.6249537499999995,closed,0.0765,2026-08-18,STOP LOSS,-154.62345375,-21.555552217695446,1,3.33
8,OPTI.ST,399.0,2.5048,2026-08-17,2.6801,5.17193775,closed,2.6801,2026-08-19,MAL NATT,64.77276224999997,-1.1897195531552043,2,0.79
7,NXTCL.ST,994.0,1.0051,2026-08-17,1.0755,5.170291,closed,1.0755,2026-08-18,MAL NATT,64.80730899999982,-3.8901581430705696,1,3.89
6,IZAFE-B.ST,3371.0,0.2966,2026-08-17,0.3174,5.174485000000001,closed,0.3174,2026-08-18,MAL NATT,64.94231500000018,0.4720188360799514,1,1.55
5,GIG-SDB.ST,532.0,1.8768,2026-08-17,2.0082,5.16705,closed,2.0082,2026-08-18,MAL NATT,64.73774999999996,1.2361453622198457,1,1.43
4,ELIC.ST,369.0,2.7089,2026-08-17,2.8985,5.172826499999999,closed,2.8985,2026-08-28,MAL NATT,64.78957350000006,-7.5270362715154455,11,1.07
3,DONE.ST,125.0,7.97,2026-08-17,8.5279,4.759375071525573,closed,7.260000228881836,2026-09-11,TIDIG VARNING,-93.50934646129608,-9.033877038895858,25,1.76
2,AEC.ST,702.0,1.4245,2026-08-17,1.5242,5.1749685,closed,1.5242,2026-09-14,MAL NATT,64.81443150000001,-6.984903637506794,28,1.02
1,ACCON.ST,61.0,16.3075,2026-08-17,17.449,5.14786625,closed,17.449,2026-08-20,MAL NATT,64.48363375,-4.338492218490108,3,0.05
